(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)
(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)
(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)
(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)
(0,0,0)	(0,0,0)	(0,0,0)	(2,1,1)	(1,1,2)	(0,0,0)	(2,1,1)	(1,1,2)	(0,0,0)	(0,0,0)	(0,0,0)
(0,0,0)	(2,1,1)	(1,1,2)	(1,2,1)	(4,2,2)	(3,2,3)	(2,2,4)	(1,2,5)	(0,0,0)	(0,0,0)	(0,0,0)
(0,0,0)	(1,2,1)	(0,0,0)	(3,2,3)	(3,3,2)	(2,3,3)	(5,3,4)	(4,3,5)	(3,3,6)	(2,3,7)	(1,3,8)
(0,0,0)	(0,0,0)	(0,0,0)	(2,3,3)	(2,4,2)	(5,4,3)	(4,4,4)	(3,4,5)	(2,4,6)	(1,4,7)	(0,0,0)
(0,0,0)	(0,0,0)	(0,0,0)	(1,4,3)	(1,5,2)	(4,5,3)	(3,5,4)	(6,5,5)	(5,5,6)	(4,5,7)	(3,5,8)
(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(3,6,3)	(2,6,4)	(5,6,5)	(8,6,6)	(7,6,7)	(6,6,8)
(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(2,7,3)	(1,7,4)	(4,7,5)	(7,7,6)	(6,7,7)	(5,7,8)
(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(1,8,3)	(0,0,0)	(3,8,5)	(6,8,6)	(5,8,7)	(4,8,8)
(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(0,0,0)	(2,9,5)	(5,9,6)	(4,9,7)	(3,9,8)
0	1	3	6	2	6	8
