0	0	1
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
1	0	1
1	1	3
1	2	5
1	3	7
1	4	9
1	5	11
1	6	13
1	7	15
1	8	17
1	9	19
2	0	1
2	1	5
2	2	13
2	3	25
2	4	41
2	5	61
2	6	85
2	7	113
2	8	145
2	9	181
3	0	1
3	1	7
3	2	25
3	3	63
3	4	129
3	5	231
3	6	377
3	7	575
3	8	833
3	9	1159
4	0	1
4	1	9
4	2	41
4	3	129
4	4	321
4	5	681
4	6	1289
4	7	2241
4	8	3649
4	9	5641
5	0	1
5	1	11
5	2	61
5	3	231
5	4	681
5	5	1683
5	6	3653
5	7	7183
5	8	13073
5	9	22363
6	0	1
6	1	13
6	2	85
6	3	377
6	4	1289
6	5	3653
6	6	8989
6	7	19825
6	8	40081
6	9	75517
7	0	1
7	1	15
7	2	113
7	3	575
7	4	2241
7	5	7183
7	6	19825
7	7	48639
7	8	108545
7	9	224143
8	0	1
8	1	17
8	2	145
8	3	833
8	4	3649
8	5	13073
8	6	40081
8	7	108545
8	8	265729
8	9	598417
9	0	1
9	1	19
9	2	181
9	3	1159
9	4	5641
9	5	22363
9	6	75517
9	7	224143
9	8	598417
9	9	1462563
